WKT,name,description
"POINT (17.8142312 -16.7108124)",Point 1,
"POINT (3.5687915 -15.8784186)",Point 4,
"POINT (5.2337296 7.5098281)",Point 3,
"POINT (-34.7202624 18.0201127)",Point 5,
"POINT (-34.5756541 28.3033158)",Point 6,
"POINT (11.9787634 52.7369096)",Point 7,
"POINT (25.0713121 66.280576)",Point 8,
"POINT (5.3378161 78.0579198)",Point 9,
"POINT (21.0287687 91.593076)",Point 10,
"POINT (-0.2371702 97.1758012)",Point 11,
"POINT (-10.328879 110.5247807)",Point 12,
"POINT (-39.9448406 114.3919682)",Point 13,
"POINT (-31.8417886 131.7943119)",Point 14,
"POINT (-44.6230577 146.7357182)",Point 15, 
"POINT (-51.0351699 178.9735331)",Point 56,
"POINT (-25.1448899 -178.3944095)",Point 57,
"POINT (-27.4991034 -141.1275135)",Point 58,
"POINT (4.0635104 -143.7624808)",Point 59,
"POINT (-2.4377929 156.8437522)",Point 60,
"POINT (3.109623 130.1932277)",Point 19,
"POINT (21.8337346 128.4781663)",Point 18,
"POINT (35.9885307 145.6619777)",Point 20,
"POINT (61.4523219 161.1042255)",Point 47,
"POINT (64.4010357 50.2450814)",Point 44,
"POINT (71.5414773 21.1497121)",Point 43,
"POINT (62.1187854 4.0344901)",Point 42,
"POINT (62.5774865 -8.6260189)",Point 38,
"POINT (56.34098 -11.83871)",Point 37,
"POINT (43.6394982 -9.8577216)",Point 36, //afryka + ausoceania + azja
"POINT (58.6972963 -138.0811578)",Point 23,
"POINT (33.6838108 -121.3819391)",Point 24,
"POINT (17.4242108 -106.9585073)",Point 25,
"POINT (7.1337872 -83.5796011)",Point 26,
"POINT (-5.3205151 -82.1733511)",Point 27,
"POINT (-57.7487289 -76.9754794)",Point 28,
"POINT (-56.14862 -62.9223399)",Point 29,
"POINT (-6.6264325 -32.6879649)",Point 30,
"POINT (8.94408 -59.6449673)",Point 31,
"POINT (23.2733059 -58.2941697)",Point 32,
"POINT (29.3562164 -77.6323254)",Point 33,
"POINT (47.5953997 -50.9030204)",Point 34, // ameryki
"POINT (73.1062163 -58.235126)",Point 48,
"POINT (58.916732 -49.1823916)",Point 49,
"POINT (58.6891035 -40.7448916)",Point 50,
"POINT (74.0017805 -50.7644229)",Point 51, // grenlandia
"POINT (63.2837069 -26.2429385)",Point 52,
"POINT (62.8457732 -12.7956729)",Point 53,
"POINT (66.6622515 -11.6530947)",Point 54,
"POINT (67.3488767 -25.3640322)",Point 55, // islandia
"POINT (18.2222455 -160.2688187)",Point 61,
"POINT (18.6391566 -152.1828812)",Point 62,
"POINT (23.8193139 -161.1912772)",Point 63,
"POINT (22.4954337 -155.9952849)",Point 64, //hawaje